ID Immagine	Testo Naturale	Testo Generato	Correzione Testo Generato	Error Type	Language	image_activity	image_object	image_context	Processed Text	Translated Text	gender_label	old_ID_img
7670c3d4-ed24-44d2-a1ee-5883c48fbf80	"
استمتعوا بتجربة استثنائية في وندر جاردن 🎢
وعيشوا متعة عائلية بلا حدود مع الألعاب المتنوعة 👨‍👩‍👧‍👦

للمزيد عبر موقع روح السعودية

#شتاء_السعودية
#موسم_الرياض"	two women standing next to each other holding a teddy bear	three children standing next to each other holding a teddy bear	Evaluation Error	ar	not_analyzed	not_analyzed	city	استمتعوا بتجربة استثنائية وندر جاردن وعيشوا متعة عائلية حدود الألعاب المتنوعة للمزيد عبر موقع روح السعودية شتاء السعودية موسم الرياض	Enjoy an exceptional experience, Wandar Garden, and live a family pleasure, the limits of various games for more via the Saudi Spirit website, Saudi Arabia, Riyadh season	mixed	e250124VisitSaudi.ar_img_10.png
046387ac-a80e-40fb-89f7-8066f2d1c1eb	"
استعدوا لمتعة الغناء والعروض العائلية في مسرحية ""أعلى الأعالي"" في بوليفارد سيتي خلال #موسم_الرياض! 🎪👨‍👩‍👧‍👦

للمزيد عبر موقع روح السعودية

#شتاء_السعودية"	a cartoon character with a cell phone in front of him	theatre characters and a text	Recognition Error	ar	not_analyzed	not_analyzed	not_analyzed	استعدوا لمتعة الغناء والعروض العائلية مسرحية الأعالي بوليفارد سيتي موسم الرياض للمزيد عبر موقع روح السعودية شتاء السعودية	Prepare for the pleasure of singing and family shows, the top play Boulevard City, Riyadh season for more via Saudi Arabia's Saudi winter site	No_human	e250124VisitSaudi.ar_img_11.png
b2370ab9-7c9c-4973-a97e-33a0e1c1939e	"
عيشوا مع أطفالكم تجربة مليئة بالمرح في سايبر سلايم في #موسم_الرياض!✨
واستمتعوا بالتحديات والألوان المبهجة للسلايم 👩‍👩‍👧‍👦

#شتاء_السعودية"	a man and a woman sitting at a table with a laptop	a boy and a girl sitting at a table with a tablet	Evaluation Error	ar	not_analyzed	not_analyzed	city	عيشوا أطفالكم تجربة مليئة بالمرح سايبر سلايم موسم الرياض واستمتعوا بالتحديات والألوان المبهجة للسلايم شتاء السعودية	Live your children	mixed	e250124VisitSaudi.ar_img_12.png
c72c2012-9a95-4dfe-9b4d-2d39088eeb6e	"
لا تفوتوا مسرحية ""عملوها إزاي؟"" تروي قصة كوميدية ممتعة عن محقق يحل أصعب الألغاز من بطولة النجم كريم محمود عبدالعزيز 🎥

🗓️| 12 - 16 يناير

📍| بوليفارد سيتي، مسرح محمد العلي"	a crowd of people standing next to each other	a crowd of people standing next to each other	No Error	ar	not_analyzed	not_analyzed	culture	تفوتوا مسرحية عملوها إزاي تروي قصة كوميدية ممتعة محقق يحل أصعب الألغاز بطولة النجم كريم محمود عبدالعزيز 12 16 يناير بوليفارد سيتي مسرح محمد العلي	You missed a play, how do you tell a fun comic story, a realized comic that solves the most difficult puzzles starring the star Karim Mahmoud Abdulaziz 12 January 16, Boulevard City, Mohamed Al -Ali Theater	mixed	e250124VisitSaudi.ar_img_13.png
2b40d7f8-9878-4eea-b447-8de963b86b84	"
استمتعوا برحلة مليئة بالمتعة والتشويق في آسيا الصغرى! واكتشفوا عالم الألعاب والتحديات الشيقة 🌍

للمزيد عبر موقع روح السعودية

#شتاء_السعودية
#تقويم_فعاليات_جدة"	a young girl is holding a banana in front of her face	a young girl laughing	Recognition Error	ar	gesture&emotions	miscellaneous	city	استمتعوا برحلة مليئة بالمتعة والتشويق آسيا الصغرى واكتشفوا عالم الألعاب والتحديات الشيقة للمزيد عبر موقع روح السعودية شتاء السعودية تقويم فعاليات جدة	Enjoy a trip full of fun and suspense Asia Minor and discover the world of games and interesting challenges for more via the Saudi Spirit website in Saudi Arabia, evaluating Jeddah activities	female	e250124VisitSaudi.ar_img_14.png
db03683b-04bc-4bf3-ad67-feb7fd258a50	"
اكتشفوا جمال الطبيعة بغابة البوليفارد في #موسم_الرياض! واستمتعوا في عالم الحيوانات العجيبة 🌿
لحظات عائلية مميزة بانتظاركم 👨‍👩‍👧‍👦

#شتاء_السعودية"	a crowd of people standing under an umbrella in front of a building	a crowd of people standing in front of a building	Evaluation Error	ar	not_analyzed	not_analyzed	city	اكتشفوا جمال الطبيعة بغابة البوليفارد موسم الرياض واستمتعوا عالم الحيوانات العجيبة لحظات عائلية مميزة بانتظاركم شتاء السعودية	Discover the beauty of nature in the Bolivard Forest, the Riyadh season and enjoy the world of strange animals, distinctive family moments, waiting for you in Saudi Arabia winter	mixed	e250124VisitSaudi.ar_img_15.png
14ed2647-f775-44c6-a80f-6192c1346381	"‏‏‎ ‎
عالم المغامرات ينتظركم في هاوس أوف هايب ببوليفارد سيتي!✨
استمتعوا بتجارب عائلية مميزة تجمع بين الواقع والتقنية التفاعلية👨‍👩‍👧‍👦

#شتاء_السعودية
#موسم_الرياض"	a woman standing next to a man in a room	a woman standing next to a man in a room	No Error	ar	not_analyzed	not_analyzed	culture	عالم المغامرات ينتظركم هاوس أوف هايب ببوليفارد سيتي استمتعوا بتجارب عائلية مميزة تجمع الواقع والتقنية التفاعلية شتاء السعودية موسم الرياض	The world of adventures awaits you, House of Hayeb, Bolvard City	mixed	e250124VisitSaudi.ar_img_16.png
7116b9dc-5079-4d4b-9713-868b59c2ee24	"‏‏‎ ‎
في أعماق الصحراء.. متسابقين رالي #داكار2024 انطلقوا اليوم من رمال الربع الخالي، في المرحلة الأصعب والأقسى في الرالي 🏜️

#داكار_في_السعودية
#شتاء_السعودية"	a sandy beach with a few cars on it	a sandy desert with a car on it	Evaluation Error	ar	not_analyzed	not_analyzed	not_analyzed	أعماق الصحراء متسابقين رالي داكار2024 انطلقوا اليوم رمال الربع الخالي المرحلة الأصعب والأقسى الرالي داكار السعودية شتاء السعودية	The depths of the desert, contestants of the Dakar Rally 2024, launched today the sands of the Empty Quarter, the most difficult and harsh phase.	No_human	e250124VisitSaudi.ar_img_17.png
e30d9df5-218e-47cd-a1d5-86ae49aab058	"‏‏‎ ‎
عالم المغامرات ينتظركم في هاوس أوف هايب ببوليفارد سيتي!✨
استمتعوا بتجارب عائلية مميزة تجمع بين الواقع والتقنية التفاعلية👨‍👩‍👧‍👦

#شتاء_السعودية
#موسم_الرياض"	a crowd of people standing in front of a large building	a crowd of people standing in front of a large building	No Error	ar	not_analyzed	not_analyzed	city	عالم المغامرات ينتظركم هاوس أوف هايب ببوليفارد سيتي استمتعوا بتجارب عائلية مميزة تجمع الواقع والتقنية التفاعلية شتاء السعودية موسم الرياض	The world of adventures awaits you, House of Hayeb, Bolvard City	mixed	e250124VisitSaudi.ar_img_18.png
e61023e8-941a-4370-8bc1-fc2b5079ee5e	"‏‏‎ ‎
التحدي الكبير! مواجهة قوية تجمع بين أبطال الملاكمة للوزن الثقيل تايسون فيوري وألكساندر أوسيك على 4 أحزمة لأول مرة في التاريخ! 🥊

17 فبراير - المملكة أرينا 📆

#شتاء_السعودية
#موسم_الرياض"	two pictures of a man with a tattoo on his arm	two pictures of a man with a tattoo on his arm	No Error	ar	no_action	people&clothing	city	التحدي الكبير مواجهة قوية تجمع أبطال الملاكمة للوزن الثقيل تايسون فيوري وألكساندر أوسيك 4 أحزمة لأول التاريخ 17 فبراير المملكة أرينا شتاء السعودية موسم الرياض	The big challenge is a strong confrontation that brings the heavy weight heroes of the heavyweight Tyson Fiuri and Alexander Osik 4 belts for the first date February 17 The Kingdom Arena Saudi winter Riyadh season	male	e250124VisitSaudi.ar_img_19.png
3444fd49-2427-471c-b82e-62622503653c	"
عيش تجربة افتراضية ممتعة مع لعبة مونوبولي في بوليفارد وورلد 🎩🤩

#شتاء_السعودية
#موسم_الرياض"	"a restaurant with a sign that reads ""don't drink"""	a building with a text	Recognition Error	ar	not_analyzed	not_analyzed	not_analyzed	عيش تجربة افتراضية ممتعة لعبة مونوبولي بوليفارد وورلد شتاء السعودية موسم الرياض	Live	No_human	e250124VisitSaudi.ar_img_20.png
f9f97b2f-3de2-4695-8cc2-e4ac6067116c	"
معرض ما وراء الباب يفتح أبوابه لاستكشاف عالم الأبواب النجدية في #موسم_الدرعية ومعرفة قصصها التراثية وجمال تصاميمها التقليدية🚪

🗓️| حتى 3 فبراير

#شتاء_السعودية"	a wooden table topped with a bunch of books	a wooden door opening on a garden	Recognition Error	ar	not_analyzed	not_analyzed	not_analyzed	معرض الباب يفتح أبوابه لاستكشاف عالم الأبواب النجدية موسم الدرعية ومعرفة قصصها التراثية وجمال تصاميمها التقليدية 3 فبراير شتاء السعودية	The door exhibition opens its doors to explore the world of Najdi doors, the Diriyah season, know its heritage stories and the beauty of its traditional designs, February 3, Saudi Arabia, Saudi Arabia	No_human	e250124VisitSaudi.ar_img_21.png
608bbff8-1b30-47a3-91a6-6f1c948f9ac3	"
استمتعوا برحلة ثقافية ملهمة مع الفعاليات والعروض المتنوعة في #مهرجان_الكتّاب_والقرّاء 📖

للمزيد عبر موقع روح السعودية

#شتاء_السعودية"	a young girl reading a book in a library	a young girl reading a book in a library	No Error	ar	gesture&emotions	art&entertainment	city	استمتعوا برحلة ثقافية ملهمة الفعاليات والعروض المتنوعة مهرجان الكت اب والقر اء للمزيد عبر موقع روح السعودية شتاء السعودية	Enjoy an inspiring cultural journey of events and various shows	female	e250124VisitSaudi.ar_img_22.png
8d28c73e-623e-4f28-a8d5-ff56042456ac	"
في رحلة استكشاف مدهشة في #بوليفارد_وورلد اكتشفوا المدينة المفقودة تحت الماء وعيشوا تجربة الغواصة مع عائلتكم 🤿👨‍👩‍👧‍👦

للمزيد عبر موقع روح السعودية

#شتاء_السعودية
#موسم_الرياض"	a man and woman standing next to each other	three children standing next to each other	Evaluation Error	ar	not_analyzed	not_analyzed	city	رحلة استكشاف مدهشة بوليفارد وورلد اكتشفوا المدينة المفقودة الماء وعيشوا تجربة الغواصة عائلتكم للمزيد عبر موقع روح السعودية شتاء السعودية موسم الرياض	An amazing exploration trip, Bolivard World, discovered the lost city and lived the experience of your family's submarine for more via the Saudi Spirit website in Saudi Arabia, Riyadh season	mixed	f290124VisitSaudi.ar_img_0.png
05945a19-1b78-4311-9263-a7f4b1ec91ef	"
متعة لا تنتهي بفعالية ""فزز هوا"" في #بوليفارد_سيتي! 🤩
اصطحبوا أطفالكم لتجربة القفز والتسلق في مساحة مليئة بالمتعة والتشويق 🧗🏼

#شتاء_السعودية
#موسم_الرياض"	a neon sign that is on the side of a building	a neon sign that is on the side of a building	No Error	ar	not_analyzed	not_analyzed	not_analyzed	متعة تنتهي بفعالية فزز هوا بوليفارد سيتي اصطحبوا أطفالكم لتجربة القفز والتسلق مساحة مليئة بالمتعة والتشويق شتاء السعودية موسم الرياض	An effective pleasure is the effect of Fahza Hua Bolivard City. Take your children to experience jumping and climbing an area full of pleasure and suspense Saudi Arabia winter Riyadh season	No_human	f290124VisitSaudi.ar_img_1.png
31fc65c0-d5dc-4e54-b6b3-52e6bb12800c	"
في فعالية #طويق_للنحت؛ استمتع بمشاهدة النحت الحي مع أهم الفنانين من مختلف دول العالم 🎨🌐

🗓️ | حتى 24 فبراير

📍| الرياض، واجهة روشن

للمزيد عبر موقع روح السعودية

#شتاء_السعودية"	a man standing next to a man with a backpack	a woman standing next to a man with a safety vest	Evaluation Error	ar	not_analyzed	not_analyzed	culture	فعالية طويق للنحت استمتع بمشاهدة النحت الحي الفنانين مختلف دول العالم 24 فبراير الرياض واجهة روشن للمزيد عبر موقع روح السعودية شتاء السعودية	Tuwaiq's effectiveness for sculpture. Enjoy watching live sculptures. Artists are different countries of the world, February 24, Riyadh.	mixed	f290124VisitSaudi.ar_img_2.png
2da0e9a7-a7f8-400c-bc0e-983c29d83d34	"
في #وندر_جاردن عيشوا رحلة فريدة بتجارب وألعاب مختلفة وفعاليات مميزة ما توقف من أول لحظة دخولكم 🎢

#شتاء_السعودية
#موسم_الرياض"	a man holding a cell phone while standing on a sidewalk	a man holding a cell phone while standing on a sidewalk	No Error	ar	gesture&emotions	art&entertainment	culture	وندر جاردن عيشوا رحلة فريدة بتجارب وألعاب مختلفة وفعاليات مميزة توقف دخولكم شتاء السعودية موسم الرياض	Nader Garden live a unique journey with different experiences, games and distinctive events that stop your entry in the winter of Saudi Arabia, Riyadh season	male	f290124VisitSaudi.ar_img_3.png
3d834078-c262-4c29-a679-5cd0ada71239	"
#شتانا_يفوز بأحلى الوجهات ❄️
حمّل الدليل عبر الرابط في البايو واكتشف جديد #الخبر و #الدمام"	a sign that is on top of a green field	a sign that is on top of a green field	No Error	ar	not_analyzed	not_analyzed	not_analyzed	شتانا يفوز بأحلى الوجهات الدليل عبر الرابط البايو واكتشف جديد الخبر الدمام	Shtana wins the sweetest evidence via the Bio link and discovered the new news Dammam	No_human	f290124VisitSaudi.ar_img_4.png
c11a271e-1f0d-461d-983d-73ea49d3694d	"
عيش اللحظة مع عائلتك في منطقة آسيا الصغرى واكتشفوا جمال التنوع الثقافي والألعاب المسلية 🤩

للمزيد عبر موقع روح السعودية

#شتاء_السعودية
#تقويم_فعاليات_جدة"	a large christmas tree is lit up at night	a large city entrance lit up at night	Evaluation Error	ar	not_analyzed	not_analyzed	not_analyzed	عيش اللحظة عائلتك منطقة آسيا الصغرى واكتشفوا جمال التنوع الثقافي والألعاب المسلية للمزيد عبر موقع روح السعودية شتاء السعودية تقويم فعاليات جدة	Live the moment your family is the Asia Minor region and discovered the beauty of cultural diversity and entertaining games for more through the Saudi Spirit website in Saudi Arabia, evaluating the activities of Jeddah	No_human	f290124VisitSaudi.ar_img_5.png
d86f30c5-f1de-4f4c-85d5-6bf00ddc5bab	"
تعرفوا على ثقافات متنوعة من كل دول العالم وفعاليات مميزة في #بوليفارد_وورلد 🌏
لحظات ممتعة لكل أفراد العائلة تنتظركم 👨‍👩‍👧‍👦

للمزيد عبر موقع روح السعودية

#شتاء_السعودية
#موسم_الرياض"	a statue of a man on a bicycle in front of a store	a statue of a man in front of a store	Evaluation Error	ar	no_action	structures&buildings	city	تعرفوا ثقافات متنوعة دول العالم وفعاليات مميزة بوليفارد وورلد لحظات ممتعة أفراد العائلة تنتظركم للمزيد عبر موقع روح السعودية شتاء السعودية موسم الرياض	Know various cultures of the world and distinguished events Bolivard World	male	f290124VisitSaudi.ar_img_6.png
897614e8-e4a1-414b-9069-b5762d91d484	"
لأن #شتانا_يفوز؛ ينطلق اليوم #مهرجان_قمم_الدولي للفنون الأدائية الجبلية 🎆
عروض متنوعة وتجارب ممتعة بانتظاركم في 8 مواقع مختلفة! 🤩

📍| عسير

‏🗓️ | 20 - 27 يناير"	a little girl with a stuffed animal on her head	a girl with traditional clothes	Evaluation Error	ar	no_action	people&clothing	culture	شتانا يفوز ينطلق اليوم مهرجان قمم الدولي للفنون الأدائية الجبلية عروض متنوعة وتجارب ممتعة بانتظاركم 8 مواقع مختلفة عسير 20 27 يناير	Shatana wins today the International Justice Festival for Mountain Performance Art	female	f290124VisitSaudi.ar_img_7.png
086e387d-4fd4-4ded-87af-336cfb50bc4b	"
استمتعوا بأجواء الشتاء والألعاب الممتعة والمناظر الخيالية في قلب عالم العجائب #وندر_جاردن 🎢👨‍👩‍👧‍👦

#شتاء_السعودية
#موسم_الرياض"	a crowd of people standing around a tent	a crowd of people standing around a tent	No Error	ar	not_analyzed	not_analyzed	city	استمتعوا بأجواء الشتاء والألعاب الممتعة والمناظر الخيالية قلب عالم العجائب وندر جاردن شتاء السعودية موسم الرياض	Enjoy the atmosphere of winter, fun games and fictional scenery, the heart of the wonder world, Wandar Garden, winter of Saudi Arabia, Riyadh season	mixed	f290124VisitSaudi.ar_img_8.png
cccb9401-6b8d-4fe6-bfe1-45b90ccc897b	"
مستعدين لتحدي سرعة الزمن؟⏳
عيشوا مغامرة مرعبة بـ غرفة الهروب في منطقة مصر ضمن فعاليات #بوليفارد_وورلد ☠️🇪🇬

#شتاء_السعودية
#موسم_الرياض"	a painting on a wall of a man in a suit	a painting on a wall	Evaluation Error	ar	not_analyzed	not_analyzed	not_analyzed	مستعدين لتحدي سرعة الزمن عيشوا مغامرة مرعبة بـ غرفة الهروب منطقة مصر فعاليات بوليفارد وورلد شتاء السعودية موسم الرياض	We are ready to challenge the speed of time. Live a terrifying adventure in the escape room, Egypt region, Bolivard World Winter Saudi Arabia, Riyadh season	No_human	f290124VisitSaudi.ar_img_9.png
5af80904-9583-4d80-9749-9c36d95a653e	"
تعرفوا على جمال ثقافة الهند في #بوليفارد_وورلد وتذوقوا ألذ المأكولات مع مشاهدة العروض المميزة 🇮🇳

#شتاء_السعودية
#موسم_الرياض"	a man and woman standing in front of a christmas tree	a man and woman standing in front of a lit up building	Evaluation Error	ar	not_analyzed	not_analyzed	culture	تعرفوا جمال ثقافة الهند بوليفارد وورلد وتذوقوا ألذ المأكولات مشاهدة العروض المميزة شتاء السعودية موسم الرياض	Know the beauty of the Indian culture of India, Boulevard World	mixed	f290124VisitSaudi.ar_img_10.png
7dee2052-ff5c-4f41-b49b-47e2ca99bf07	"
أجواء استثنائية قادمة لكم في #مهرجان_قمم_الدولي للفنون الأدائية الجبلية! ✨
بين التجارب المختلفة؛ بتستمتعون بلحظات ما لها مثيل على مدى 8 أيام 😍

📍| عسير

🗓️| 20 - 27 يناير

#شتانا_يفوز"	a crowd of people standing in front of a christmas tree	a crowd of people standing in front of stone monuments	Evaluation Error	ar	not_analyzed	not_analyzed	culture	أجواء استثنائية قادمة مهرجان قمم الدولي للفنون الأدائية الجبلية التجارب المختلفة بتستمتعون بلحظات مثيل مدى 8 أيام عسير 20 27 يناير شتانا يفوز	An exceptional atmosphere is coming, the International Festival of International Performance Arts, various experiences, you enjoy similar moments, 8 days, Asir 20, January 27.	mixed	f290124VisitSaudi.ar_img_11.png
0035094d-fd46-431e-b24f-1e636f939ec3	"‏‏‎ ‎
#موسم_الرياض يحقق أحلام أطفالك على أرض الواقع من خلال العروض الترفيهية والموسيقية لأشهر أغاني عوالم ديزني في #ديزني_ذاكاسل 🤩🏰

#شتاء_السعودية"	a woman standing next to a man on a cell phone	children playing in a square at night	Recognition Error	ar	not_analyzed	not_analyzed	city	موسم الرياض يحقق أحلام أطفالك أرض الواقع العروض الترفيهية والموسيقية لأشهر أغاني عوالم ديزني ديزني ذاكاسل شتاء السعودية	The Riyadh season achieves the dreams of your children, the ground, the entertainment and musical performances of the most famous songs of Disney Disney, the Winter of Saudi Arabia, the winter of Saudi Arabia	mixed	f290124VisitSaudi.ar_img_12.png
28b4652d-0656-478d-9450-f34609996145	"
تحدى نفسك واكتشف غموض ""فندق الرعب"" في بوليفارد وورلد ☠️

احجز الآن من خلال موقع روح السعودية.

#روح_قبل_لا_يروح"	a person standing in front of a light at night	a person standing in front of a light at night	No Error	ar	not_analyzed	not_analyzed	city	تحدى واكتشف غموض فندق الرعب بوليفارد وورلد احجز موقع روح السعودية روح يروح	Challenge and discover the mystery of the horror hotel, Bolivard World	mixed	a010324VisitSaudi.ar_img_0.png
d3af5ac8-8c14-487d-8652-7b38eb213328	"
انطلقوا في رحلة تسوق استثنائية في ""بلاد الشام"" مع مجموعة متنوعة من الإكسسوارات الرائعة والتحف الجميلة داخل بوليفارد وورلد 🛍️

احجز الآن من خلال موقع روح السعودية.

#روح_قبل_لا_يروح"	a store with many different types of items on display	a store with many different types of items on display	No Error	ar	not_analyzed	not_analyzed	culture	انطلقوا رحلة تسوق استثنائية بلاد الشام مجموعة متنوعة الإكسسوارات الرائعة والتحف الجميلة داخل بوليفارد وورلد احجز موقع روح السعودية روح يروح	They launched an exceptional shopping trip.	mixed	a010324VisitSaudi.ar_img_1.png
1aecf990-be5d-43f1-9855-2631ed07ae7a	"
#يوم_التأسيس لحظات تجسد عراقة هويتنا وتاريخنا 🌟
تنقل مع عائلتك في رحلة عبر فصول التاريخ في قرية التأسيس 🤩

للمزيد عبر موقع روح السعودية

#روح_قبل_لا_يروح"	a collage of photographs of a person wearing a neck tie	a text	Recognition Error	ar	not_analyzed	not_analyzed	not_analyzed	يوم التأسيس لحظات تجسد عراقة هويتنا وتاريخنا تنقل عائلتك رحلة عبر فصول التاريخ قرية التأسيس للمزيد عبر موقع روح السعودية روح يروح	Founding day moments that embody the legacy of our identity and our history	No_human	a010324VisitSaudi.ar_img_2.png
d251508a-168a-453a-a073-576030b3ff00	"
في #بينالي_الدرعية استمتعوا بيوم التأسيس واحتفلوا بتراثنا! ✨ 
مع تجارب وفعاليات مختلفة ومتنوعة 🤩 

#روح_قبل_لا_يروح"	a blurry photo of some rocks and water	a blurry photo of some rocks and water	No Error	ar	not_analyzed	not_analyzed	not_analyzed	بينالي الدرعية استمتعوا بيوم التأسيس واحتفلوا بتراثنا تجارب وفعاليات مختلفة ومتنوعة روح يروح	Diriyah Biennial enjoyed the foundation day and celebrated our heritage, different experiences and events	No_human	a010324VisitSaudi.ar_img_3.png
89a1b44a-8393-4db3-915a-258ee54b830a	"
استكشف ثقافات متنوعة وعروض رائعة من جميع أنحاء العالم داخل البوليفارد وورلد 🤩

للمزيد عبر موقع روح السعودية

#روح_قبل_لا_يروح"	three women dressed up in costumes standing on a street	two women in costume standing on a stage	Evaluation Error	ar	static_position	people&clothing	culture	استكشف ثقافات متنوعة وعروض رائعة أنحاء العالم داخل البوليفارد وورلد للمزيد عبر موقع روح السعودية روح يروح	Explore various cultures and wonderful offers around	female	a010324VisitSaudi.ar_img_4.png
